title,affiliation_name,affiliation_country,publication_year,keywords
Shear capacity of high performance fiber reinforced concrete I beams,,,2017,
Mutation operators in BPMN model,,,2017,
Characteristics and catalytic properties of Ni Ti Si composite oxide catalysts via CO2 hydrogenation,,,2017,
Disruption of c Kit Signaling in KitW sh W sh Growing Mice Increases Bone Turnover,,,2016,
Ce3  ion induced visible light photocatalytic degradation and electrochemical activity of ZnO CeO2 nanocomposite,,,2016,
Comparative and functional genomics of malaria parasites,,,2016,
Randomized open trial comparing 2 dose regimens of the human papillomavirus 16 18 as04 adjuvanted vaccine in girls aged 9 14 years versus a 3 dose regimen in women aged 15 25 years,,,2016,
It is too early to say no place for high frequency oscillatory ventilation in children with respiratory failure,,,2016,
"Seashell derived mixed compounds of Ca, Zn and Al as active and stable catalysts for the transesterification of palm oil with methanol to biodiesel",,,2016,
Biochemical and clinical effects of Whey protein supplementation in Parkinson's disease  A pilot study,,,2016,
A parameter extraction technique exploiting intrinsic properties of solar cells,,,2016,
New turn on fluorescent and colorimetric probe for cyanide detection based on BODIPY salicylaldehyde and its application in cell imaging,,,2016,
Enhancing capacitive DNA biosensor performance by target overhang with application on screening test of HLA B 58 01 and HLA B 57 01 genes,,,2016,
Improving of crystal size distribution control based on neural network based hybrid model for purified terephthalic acid batch crystallizer,,,2017,
Search for supersymmetry in electroweak production with photons and large missing transverse energy in pp collisions at  s=8TeV,,,2016,
"Search for supersymmetry in events with soft leptons, low jet multiplicity, and missing transverse energy in proton proton collisions at  s=8 TeV",,,2016,
Search for neutral resonances decaying into a Z boson and a pair of b jets or   leptons,,,2016,
Radiation tests of real sized prototype RPCs for the Phase 2 Upgrade of the CMS Muon System,,,2016,
Elastomeric PDMS Planoconvex Lenses Fabricated by a Confined Sessile Drop Technique,,,2016,
Combined search for anomalous pseudoscalar HVV couplings in VH(H bb ) production and H   VV decay,,,2016,
Measurement of the inelastic cross section in proton lead collisions at  sNN=5 02 TeV,,,2016,
Study of Z boson production in pPb collisions at  sNN=5 02 TeV,,,2016,
Temperature dependency of Polarization Extinction Ratio in Polarization Maintaining Fiber with LC UPC connectors,,,2016,
Molecular and pathological characterization of Fusarium solani species complex infection in the head and lateral line system of Sphyrna lewini,,,2016,
On line digit set conversion for rational digit number,,,2017,
"Prevention of mother to child transmission of hepatitis B virus  A phase III, placebo controlled, double blind, randomized clinical trial to assess the efficacy and safety of a short course of tenofovir disoproxil fumarate in women with hepatitis B virus e antigen",,,2016,
"Enhanced happiness and stress alleviation upon insight meditation retreat  mindfulness, a part of traditional Buddhist meditation",,,2016,
Semi rigid foams of calcium silicate (CaSiO3) embedded in natural rubber latex,,,2016,
"Prevalence of CYP2D6 2, CYP2D6 4, CYP2D6 10, and CYP3A5 3 in Thai breast cancer patients undergoing tamoxifen treatment",,,2016,
The social network index and its relation to later life depression among the elderly aged  80 years in Northern Thailand,,,2016,
Holographic renormalization group flows in N=3 Chern Simons Matter theory from N=3 4D gauged supergravity,,,2016,
"Adaptation of Campylobacter jejuni to biocides used in the food industry affects biofilm structure, adhesion strength, and cross resistance to clinical antimicrobial compounds",,,2016,
