title,affiliation_name,affiliation_country,publication_year,keywords
Public health and international epidemiology for radiology,"['Stanford University School of Medicine', 'Chulalongkorn University', 'Bumrungrad International Hospital', 'Stanford Healthcare', 'Stanford University', 'Johns Hopkins Bloomberg School of Public Health']","['United States', 'Thailand', 'Thailand', 'United States', 'United States', 'United States']",2018,[]
Flexible Printed Active Antenna for Digital Television Reception,['Chulalongkorn University'],['Thailand'],2018,[]
Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser,['Chulalongkorn University'],['Thailand'],2018,"['Circulating fluidized bed', 'Computational fluid dynamics', 'Multiphase flow models', 'Riser', 'Sorption enhanced steam methane reforming']"
Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO 2 composites for self-driven oil/water separation,"['Hirosaki University', 'Chulalongkorn University', 'Thammasat University', 'National Institute of Advanced Industrial Science and Technology, Chubu', 'Synchrotron Light Research Institute (Public Organization)', 'Academy of Science']","['Japan', 'Thailand', 'Thailand', 'Japan', 'Thailand', 'Thailand']",2018,"['Encapsulation', 'Fluoroalkylsilane', 'Natural rubber', 'Oil/water separation superhydrophobic/superoleophilic mesh']"
Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection,"['Chulalongkorn University', 'Thailand National Electronics and Computer Technology Center', 'Colorado State University', 'Srinakharinwirot University']","['Thailand', 'Thailand', 'United States', 'Thailand']",2018,"['acpcPNA', 'Electrochemical impedance spectroscopy', 'Mycobacterium tuberculosis', 'Paper-based electrochemical DNA biosensor']"
Evaluation of outsourcing transportation contract using simulation and design of experimentOcena kontraktw outsourcingowych w transporcie z wykorzystaniem symulacji i projektu eksperymentu,['Chulalongkorn Business School'],['Thailand'],2018,"['Design of experiment', 'Optimal fleet size', 'Outsourcing', 'Simulation modelling', 'Transportation contract', 'Transportation management', 'Variation']"
The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency,"['Chulalongkorn University', 'King Chulalongkorn Memorial Hospital']","['Thailand', 'Thailand']",2018,"['Female', 'Hyperammonemia', 'Novel mutations', 'Ornithine transcarbamylase deficiency', 'OTC']"
External beam radiotherapy in the treatment of painful bone metastases,"['Chulalongkorn University', 'The University of Texas MD Anderson Cancer Center', 'Medical College of Wisconsin']","['Thailand', 'United States', 'United States']",2018,[]
Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism,"['Chulalongkorn University', 'Thailand National Electronics and Computer Technology Center']","['Thailand', 'Thailand']",2018,"['Attention mechanism', 'Bi-directional GRU', 'criminal law', 'Deep Learning', 'predicting judgement', 'Thai Supreme Court']"
PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides,['Chulalongkorn University'],['Thailand'],2018,[]
Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy,"['Metallurgy and Materials Research Institute Chulalongkorn University', 'South China University of Technology', 'Yanshan University']","['Thailand', 'China', 'China']",2018,"['Anodization', 'Ti–Zr alloy', 'Wear resistance']"
Applying Text Mining for Classifying Disease from Symptoms,['Chulalongkorn University'],['Thailand'],2018,"['Classification', 'Data preparation', 'Disease', 'ICD-10-CM', 'Symptom', 'Text mining']"
Classification of advertisement text on Facebook using synthetic minority over-sampling technique,['Chulalongkorn University'],['Thailand'],2018,"['AISAS model', 'Feature selection', 'SMOTE']"
Detecting Radio AGN Signatures in Red Geysers,"['Laboratório Interinstitucional de e-Astronomia', 'Lick Observatory', 'NYU Abu Dhabi', 'Johns Hopkins University Krieger School of Arts and Sciences', 'Universidade Federal de Santa Maria', 'University of Wisconsin-Madison', 'The Center for Cosmology and Particle Physics', 'Chulalongkorn University', 'University of Oxford', 'University of Portsmouth', 'Tsinghua University', 'The University of Tokyo', 'University of California, Santa Cruz', 'Harvard-Smithsonian Center for Astrophysics', 'University of Kentucky', 'Apache Point Observatory', 'The University of Texas at Austin', 'The Open University', 'Space Telescope Science Institute', 'Lomonosov Moscow State University', 'Princeton University']","['Brazil', 'United States', 'United Arab Emirates', 'United States', 'Brazil', 'United States', 'United States', 'Thailand', 'United Kingdom', 'United Kingdom', 'China', 'Japan', 'United States', 'United States', 'United States', 'United States', 'United States', 'United Kingdom', 'United States', 'Russian Federation', 'United States']",2018,"['galaxies: evolution', 'galaxies: formation', 'galaxies: general']"
Organic agriculture education in Thai Universities: National trends and student perceptions,"['Chulalongkorn University', 'CUSAR']","['Thailand', 'Thailand']",2018,[]
"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand",['Chulalongkorn University'],['Thailand'],2018,"['Apocynaceae', 'Asclepiadoideae', 'Eastern thailand', 'Open sandy area']"
Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2,"['University of Virginia', 'Lunds Universitet', 'Chulalongkorn University', 'University of Bristol', 'Boston University', 'The University of Auckland']","['United States', 'Sweden', 'Thailand', 'United Kingdom', 'United States', 'New Zealand']",2018,[]
