[2024-05-10T12:51:51.092+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-10T12:51:51.119+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_pipeline.clean_api_data manual__2024-05-10T10:18:14.377791+00:00 [queued]>
[2024-05-10T12:51:51.127+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_pipeline.clean_api_data manual__2024-05-10T10:18:14.377791+00:00 [queued]>
[2024-05-10T12:51:51.128+0000] {taskinstance.py:2306} INFO - Starting attempt 14 of 17
[2024-05-10T12:51:51.138+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): clean_api_data> on 2024-05-10 10:18:14.377791+00:00
[2024-05-10T12:51:51.144+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=7885) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-10T12:51:51.145+0000] {standard_task_runner.py:63} INFO - Started process 7887 to run task
[2024-05-10T12:51:51.144+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'data_pipeline', 'clean_api_data', 'manual__2024-05-10T10:18:14.377791+00:00', '--job-id', '525', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmpwe9ri2vu']
[2024-05-10T12:51:51.146+0000] {standard_task_runner.py:91} INFO - Job 525: Subtask clean_api_data
[2024-05-10T12:51:51.158+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-05-10T12:51:51.183+0000] {task_command.py:426} INFO - Running <TaskInstance: data_pipeline.clean_api_data manual__2024-05-10T10:18:14.377791+00:00 [running]> on host dbfcb70dcca2
[2024-05-10T12:51:51.259+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_pipeline' AIRFLOW_CTX_TASK_ID='clean_api_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-10T10:18:14.377791+00:00' AIRFLOW_CTX_TRY_NUMBER='14' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-10T10:18:14.377791+00:00'
[2024-05-10T12:51:51.260+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-10T12:51:51.320+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.320+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.321+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.321+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.321+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.322+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.322+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.322+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.323+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.323+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.323+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.323+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.324+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.324+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.324+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.324+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.325+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.325+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.325+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.325+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.326+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.326+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.326+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.326+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.327+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.327+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.327+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.327+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.328+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.328+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.328+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.329+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.329+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.329+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.329+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.330+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.330+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.330+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.331+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.331+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.331+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.332+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.332+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.332+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.332+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.333+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.333+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.333+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.333+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.334+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.334+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.334+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.334+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.335+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.335+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.335+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.335+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.336+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.336+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.336+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.336+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.337+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.337+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.337+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.337+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.338+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.338+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.338+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.338+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.338+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.339+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.339+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.339+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.339+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.340+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.340+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.340+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.340+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.341+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.341+0000] {logging_mixin.py:188} INFO - <class 'str'>
[2024-05-10T12:51:51.341+0000] {logging_mixin.py:188} INFO - <class 'str'>
