[2024-05-09T23:20:17.107+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-09T23:20:17.130+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:19:43.103474+00:00 [queued]>
[2024-05-09T23:20:17.139+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:19:43.103474+00:00 [queued]>
[2024-05-09T23:20:17.139+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 4
[2024-05-09T23:20:17.150+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_api_data> on 2024-05-09 23:19:43.103474+00:00
[2024-05-09T23:20:17.157+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=3064) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-09T23:20:17.158+0000] {standard_task_runner.py:63} INFO - Started process 3066 to run task
[2024-05-09T23:20:17.157+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'ml_pipeline', 'extract_api_data', 'manual__2024-05-09T23:19:43.103474+00:00', '--job-id', '145', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmp0xov0a1y']
[2024-05-09T23:20:17.159+0000] {standard_task_runner.py:91} INFO - Job 145: Subtask extract_api_data
[2024-05-09T23:20:17.169+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-05-09T23:20:17.197+0000] {task_command.py:426} INFO - Running <TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:19:43.103474+00:00 [running]> on host 3031e573f05c
[2024-05-09T23:20:17.269+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ml_pipeline' AIRFLOW_CTX_TASK_ID='extract_api_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-09T23:19:43.103474+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-09T23:19:43.103474+00:00'
[2024-05-09T23:20:17.270+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-09T23:20:17.301+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_0.json
[2024-05-09T23:20:17.301+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_0.json
[2024-05-09T23:20:17.304+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1.json
[2024-05-09T23:20:17.305+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1.json
[2024-05-09T23:20:17.307+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_10.json
[2024-05-09T23:20:17.308+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_10.json
[2024-05-09T23:20:17.312+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_100.json
[2024-05-09T23:20:17.312+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_100.json
[2024-05-09T23:20:17.314+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_101.json
[2024-05-09T23:20:17.314+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_101.json
[2024-05-09T23:20:17.317+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_102.json
[2024-05-09T23:20:17.317+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_102.json
[2024-05-09T23:20:17.321+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_103.json
[2024-05-09T23:20:17.321+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_103.json
[2024-05-09T23:20:17.324+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_104.json
[2024-05-09T23:20:17.325+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_104.json
[2024-05-09T23:20:17.327+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_105.json
[2024-05-09T23:20:17.328+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_105.json
[2024-05-09T23:20:17.330+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_106.json
[2024-05-09T23:20:17.330+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_106.json
[2024-05-09T23:20:17.332+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_107.json
[2024-05-09T23:20:17.332+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_107.json
[2024-05-09T23:20:17.334+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_108.json
[2024-05-09T23:20:17.335+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_108.json
[2024-05-09T23:20:17.338+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_109.json
[2024-05-09T23:20:17.338+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_109.json
[2024-05-09T23:20:17.341+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_11.json
[2024-05-09T23:20:17.341+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_11.json
[2024-05-09T23:20:17.344+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_110.json
[2024-05-09T23:20:17.344+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_110.json
[2024-05-09T23:20:17.346+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_111.json
[2024-05-09T23:20:17.346+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_111.json
[2024-05-09T23:20:17.348+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_112.json
[2024-05-09T23:20:17.348+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_112.json
[2024-05-09T23:20:17.350+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_12.json
[2024-05-09T23:20:17.350+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_12.json
[2024-05-09T23:20:17.353+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_13.json
[2024-05-09T23:20:17.353+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_13.json
[2024-05-09T23:20:17.355+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_14.json
[2024-05-09T23:20:17.356+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_14.json
[2024-05-09T23:20:17.358+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_15.json
[2024-05-09T23:20:17.359+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_15.json
[2024-05-09T23:20:17.361+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_16.json
[2024-05-09T23:20:17.362+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_16.json
[2024-05-09T23:20:17.364+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_17.json
[2024-05-09T23:20:17.364+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_17.json
[2024-05-09T23:20:17.366+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_18.json
[2024-05-09T23:20:17.366+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_18.json
[2024-05-09T23:20:17.367+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_19.json
[2024-05-09T23:20:17.368+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_19.json
[2024-05-09T23:20:17.371+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_2.json
[2024-05-09T23:20:17.371+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_2.json
[2024-05-09T23:20:17.374+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_20.json
[2024-05-09T23:20:17.374+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_20.json
[2024-05-09T23:20:17.377+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_21.json
[2024-05-09T23:20:17.377+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_21.json
[2024-05-09T23:20:17.379+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_22.json
[2024-05-09T23:20:17.379+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_22.json
[2024-05-09T23:20:17.381+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_23.json
[2024-05-09T23:20:17.381+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_23.json
[2024-05-09T23:20:17.383+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_24.json
[2024-05-09T23:20:17.383+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_24.json
[2024-05-09T23:20:17.385+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_25.json
[2024-05-09T23:20:17.386+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_25.json
[2024-05-09T23:20:17.388+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_26.json
[2024-05-09T23:20:17.389+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_26.json
[2024-05-09T23:20:17.391+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_27.json
[2024-05-09T23:20:17.391+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_27.json
[2024-05-09T23:20:17.393+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_28.json
[2024-05-09T23:20:17.394+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_28.json
[2024-05-09T23:20:17.396+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_29.json
[2024-05-09T23:20:17.396+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_29.json
[2024-05-09T23:20:17.398+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_3.json
[2024-05-09T23:20:17.398+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_3.json
[2024-05-09T23:20:17.400+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_30.json
[2024-05-09T23:20:17.401+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_30.json
[2024-05-09T23:20:17.403+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_31.json
[2024-05-09T23:20:17.404+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_31.json
[2024-05-09T23:20:17.406+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_32.json
[2024-05-09T23:20:17.407+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_32.json
[2024-05-09T23:20:17.409+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_33.json
[2024-05-09T23:20:17.409+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_33.json
[2024-05-09T23:20:17.411+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_34.json
[2024-05-09T23:20:17.412+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_34.json
[2024-05-09T23:20:17.414+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_35.json
[2024-05-09T23:20:17.414+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_35.json
[2024-05-09T23:20:17.416+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_36.json
[2024-05-09T23:20:17.416+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_36.json
[2024-05-09T23:20:17.419+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_37.json
[2024-05-09T23:20:17.420+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_37.json
[2024-05-09T23:20:17.423+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_38.json
